# Time, Xc, Yc
3.072723055419977754e+03 5.750786812997724837e+02 9.685257146737711764e+02
3.072743489020038396e+03 5.750809439503799467e+02 9.685245928999628404e+02
3.072763922620099038e+03 5.750829708119609904e+02 9.685215608500088820e+02
3.072784356319811195e+03 5.750862622852433788e+02 9.685198607013081755e+02
3.072804789820220321e+03 5.750922646544291865e+02 9.685177426556674618e+02
3.072825223419815302e+03 5.750947679513377579e+02 9.685155063330025769e+02
3.072845657019875944e+03 5.751002120350671021e+02 9.685129683344109708e+02
3.072866090619936585e+03 5.751017555232940595e+02 9.685088382571390184e+02
3.072886524219997227e+03 5.751082002333844230e+02 9.685078447923534668e+02
3.072906957820057869e+03 5.751114433698668336e+02 9.685102932619014382e+02
3.072927391420118511e+03 5.751149308526020150e+02 9.685080743075224063e+02
3.072947825119830668e+03 5.751172651286922246e+02 9.685067036412269772e+02
3.072968258619774133e+03 5.751203918860114754e+02 9.685057523075992094e+02
3.072988692219834775e+03 5.751253356742614642e+02 9.685048144816843205e+02
3.073009125920012593e+03 5.751307630395647266e+02 9.685027747634983371e+02
3.073029559419956058e+03 5.751359836771511027e+02 9.685014108564697608e+02
3.073049993020016700e+03 5.751434247143408811e+02 9.685012748858166560e+02
3.073070426720194519e+03 5.751481434332711160e+02 9.684992397860180517e+02
3.073090860220137984e+03 5.751535893575319278e+02 9.684989994049868756e+02
3.073111293820198625e+03 5.751606667006859652e+02 9.684987744684073050e+02
3.073131727519910783e+03 5.751692402056468154e+02 9.684997257691277355e+02
3.073152161119971424e+03 5.750317997076373331e+02 9.684903484387356229e+02
3.073172594720032066e+03 5.750065735027214942e+02 9.684857941391557006e+02
3.073193028320092708e+03 5.750093684042921041e+02 9.684848505381918358e+02
3.073213461920153350e+03 5.750151986807273943e+02 9.684853625845488523e+02
3.073233895520213991e+03 5.750212681552388858e+02 9.684849368611735372e+02
3.073254329119808972e+03 5.750254617012590188e+02 9.684844577696323995e+02
3.073274762719869614e+03 5.750315930048910786e+02 9.684842457015852233e+02
3.073295196319930255e+03 5.750381438875575668e+02 9.684833438708251379e+02
3.073315629919990897e+03 5.750470127864512051e+02 9.684838475548538099e+02
3.073336063520051539e+03 5.750516314741212227e+02 9.684820946721558812e+02
3.073356497219763696e+03 5.750592638785856252e+02 9.684821601473923920e+02
