# Time, Xc, Yc
3.073376930720172822e+03 5.750647318598429365e+02 9.684828597796330314e+02
3.073397364320233464e+03 5.750706615359748639e+02 9.684831396988197412e+02
3.073417798019945621e+03 5.750722386199932998e+02 9.684856104486358390e+02
3.073438231519889086e+03 5.750771083118183924e+02 9.684846707935312224e+02
3.073458665220066905e+03 5.750830224844507939e+02 9.684856640417028757e+02
3.073479098820127547e+03 5.750892908096511746e+02 9.684858205351613378e+02
3.073499532320071012e+03 5.750929466452392944e+02 9.684875597158210212e+02
3.073519966019783169e+03 5.750981480147693219e+02 9.684872347194643680e+02
3.073540399619843811e+03 5.751045024750089851e+02 9.684884286530589179e+02
3.073560833119787276e+03 5.751087862687253391e+02 9.684867315269162873e+02
3.073581266819965094e+03 5.751116678318869617e+02 9.684873156256398943e+02
3.073601700420025736e+03 5.751184356774874686e+02 9.684886373306337646e+02
3.073622133919969201e+03 5.751239801710282791e+02 9.684890824584053917e+02
3.073642567620147020e+03 5.750479439289310903e+02 9.684804348043694517e+02
3.073663001120090485e+03 5.750403347543945074e+02 9.684795596656268799e+02
3.073683434720151126e+03 5.750482257164906059e+02 9.684811340242292772e+02
3.073703868419863284e+03 5.750537420171618805e+02 9.684839018621340756e+02
3.073724302019923925e+03 5.750575507025818069e+02 9.684835248021811367e+02
3.073744735519867390e+03 5.750656897796048952e+02 9.684853250189954679e+02
3.073765169220045209e+03 5.750700730389360160e+02 9.684838617575255739e+02
3.073785602820105851e+03 5.750771882480087243e+02 9.684844768960030024e+02
3.073806036420166492e+03 5.750843645776390076e+02 9.684852396512086443e+02
3.073826470020227134e+03 5.750937764492870201e+02 9.684862461921954946e+02
3.073846903619822115e+03 5.750986917100696019e+02 9.684858213248663787e+02
3.073867337319999933e+03 5.751036527160297283e+02 9.684861353958352765e+02
3.073887770819943398e+03 5.750378838729333211e+02 9.684785552429509607e+02
3.073908204420004040e+03 5.750332243197279922e+02 9.684786121684314821e+02
3.073928638120181859e+03 5.750418453424053951e+02 9.684795802781962948e+02
3.073949071620125324e+03 5.750889245005720340e+02 9.685061578158735074e+02
3.073969505220185965e+03 5.751546998490691749e+02 9.685444415282570390e+02
3.073989938919898123e+03 5.751618880113057912e+02 9.685444230572453534e+02
3.074010372419841588e+03 5.751033974421300172e+02 9.685008118610790007e+02
3.074030806019902229e+03 5.750856203356888727e+02 9.684812830599902327e+02
3.074051239720080048e+03 5.750949427123547366e+02 9.684798883899750308e+02
3.074071673220023513e+03 5.751056066612082986e+02 9.684812303944497671e+02
3.074092106820084155e+03 5.751203958731197190e+02 9.684848682483584525e+02
3.074112540519796312e+03 5.751308065709677066e+02 9.684858912619180273e+02
3.074132974020205438e+03 5.750781428122338639e+02 9.684814939436324721e+02
3.074153407719917595e+03 5.750732844550034315e+02 9.684796399848349893e+02
3.074173841319978237e+03 5.750839683949805021e+02 9.684797923332367873e+02
3.074194274920038879e+03 5.750909220977719087e+02 9.684790305280793064e+02
3.074214708520099521e+03 5.750995592376976902e+02 9.684778298724529577e+02
3.074235142120160162e+03 5.751089307144809482e+02 9.684776335270142908e+02
3.074255575720220804e+03 5.751184309198707751e+02 9.684758895322423768e+02
3.074276009319815785e+03 5.751264822998440422e+02 9.684780695897392206e+02
3.074296442919876426e+03 5.751346915965393691e+02 9.684794541444198330e+02
3.074316876519937068e+03 5.751422982472606691e+02 9.684838318615296657e+02
3.074337310119997710e+03 5.751496504031542827e+02 9.684831018290808515e+02
3.074357743720058352e+03 5.751574315815485079e+02 9.684835189822888424e+02
3.074378177220001817e+03 5.750250514382749998e+02 9.684715513536538083e+02
3.074398610920179635e+03 5.750012800075274981e+02 9.684674237252614830e+02
3.074419044519774616e+03 5.750081007604693468e+02 9.684665745331971038e+02
3.074439478020183742e+03 5.750161008436264183e+02 9.684677878588880731e+02
3.074459911719895899e+03 5.750188610138573040e+02 9.684664893136914543e+02
3.074480345319956541e+03 5.750265196637921008e+02 9.684671734093130908e+02
3.074500778819900006e+03 5.750324692367639727e+02 9.684666691527287412e+02
3.074521212520077825e+03 5.750374821540691528e+02 9.684672772357638451e+02
3.074541646120138466e+03 5.750450947121943273e+02 9.684686964709570702e+02
3.074562079720199108e+03 5.750513943423669616e+02 9.684694318026655537e+02
3.074582513319794089e+03 5.750581533093848066e+02 9.684696217971503529e+02
3.074602946919854730e+03 5.750665360859600241e+02 9.684694373236353613e+02
3.074623380620032549e+03 5.759734245868047537e+02 9.684957537870172928e+02
3.074643814119976014e+03 5.750433670658591154e+02 9.684686177326575489e+02
3.074664247720036656e+03 5.750466411142281231e+02 9.684672798523833990e+02
3.074684681420214474e+03 5.750507145390669166e+02 9.684675711749474658e+02
3.074705115019809455e+03 5.750557832654476442e+02 9.684677459522043819e+02
3.074725548520218581e+03 5.750613571051272856e+02 9.684676622490221689e+02
3.074745982219930738e+03 5.750657376698545704e+02 9.684673050522718540e+02
3.074766415819991380e+03 5.750707829069567651e+02 9.684673424602256091e+02
3.074786849319934845e+03 5.750757454527069967e+02 9.684674949223981457e+02
3.074807283020112664e+03 5.750811988050313630e+02 9.684680274185675444e+02
3.074827716620173305e+03 5.750859251196934565e+02 9.684671884534152468e+02
3.074848150120116770e+03 5.750911597036468947e+02 9.684678831706166875e+02
3.074868583819828928e+03 5.750404968781900834e+02 9.684666882700662427e+02
3.074889017419889569e+03 5.750339645072110670e+02 9.684665304395839485e+02
3.074909450919833034e+03 5.750426546460578265e+02 9.684701396826075097e+02
3.074929884620010853e+03 5.750450906032128842e+02 9.684669399027724239e+02
3.074950318220071495e+03 5.750498017216090147e+02 9.684673460126438158e+02
3.074970751720014960e+03 5.750551902197323670e+02 9.684660198921261554e+02
3.074991185420192778e+03 5.750623460504921240e+02 9.684660153050134568e+02
3.075011619019787759e+03 5.750672383923247253e+02 9.684648909808342978e+02
3.075032052619848400e+03 5.750743044781729623e+02 9.684650704978009799e+02
3.075052486219909042e+03 5.750820254287965554e+02 9.684667100130038762e+02
3.075072919819969684e+03 5.750876838035970877e+02 9.684660438032268530e+02
3.075093353420030326e+03 5.750934919632396713e+02 9.684672299097599080e+02
3.075113787020090967e+03 5.749913087933346105e+02 9.684664714655494890e+02
3.075134220620151609e+03 5.749746513471020535e+02 9.684646973656281261e+02
3.075154654220212251e+03 5.749788519651806382e+02 9.684643173651003281e+02
3.075175087819807231e+03 5.749833843011521139e+02 9.684639415144872601e+02
3.075195521419867873e+03 5.749908399414155156e+02 9.684626011148712905e+02
3.075215955120045692e+03 5.749980798971641889e+02 9.684623721553284668e+02
3.075236388619989157e+03 5.750021055529776959e+02 9.684625618154608446e+02
3.075256822220049798e+03 5.750096409697547415e+02 9.684622615269678363e+02
3.075277255920227617e+03 5.750153111512370288e+02 9.684630239339804803e+02
3.075297689420171082e+03 5.750234313263441663e+02 9.684635237426714411e+02
3.075318123020231724e+03 5.750291728255641601e+02 9.684648630203462290e+02
3.075338556719943881e+03 5.750360260146227347e+02 9.684654604369449089e+02
3.075358990219887346e+03 5.750430829064108593e+02 9.684677317779828627e+02
3.075379423819947988e+03 5.750469855682353000e+02 9.684684384633197851e+02
3.075399857520125806e+03 5.750512746541274964e+02 9.684675280215133171e+02
3.075420291020069271e+03 5.750584828368939725e+02 9.684686097681274077e+02
3.075440724620129913e+03 5.750632771079422128e+02 9.684667272021255258e+02
3.075461158319842070e+03 5.750707675337152978e+02 9.684674874568551104e+02
3.075481591819785535e+03 5.750767606888269938e+02 9.684684442616453453e+02
3.075502025419846177e+03 5.750853377749008359e+02 9.684695112275372821e+02
3.075522459120023996e+03 5.750921927288563893e+02 9.684703108884981475e+02
3.075542892720084637e+03 5.750971806091333747e+02 9.684707238084214396e+02
3.075563326220028102e+03 5.751027778265302004e+02 9.684711288380051428e+02
3.075583759920205921e+03 5.751107024459982995e+02 9.684723292504241954e+02
3.075604193519800901e+03 5.750557632238383121e+02 9.684666577151975844e+02
3.075624627119861543e+03 5.750526778756338899e+02 9.684669392402811354e+02
3.075645060719922185e+03 5.750601393555316463e+02 9.684681637083543819e+02
3.075665494319982827e+03 5.750665773409053827e+02 9.684698319200366541e+02
3.075685928020160645e+03 5.750720904931398536e+02 9.684674508032969698e+02
3.075706361520104110e+03 5.751254227004818631e+02 9.684982193850435124e+02
3.075726795120164752e+03 5.751840482467881657e+02 9.685324241160757310e+02
3.075747228720225394e+03 5.751864770379978609e+02 9.685289534284298725e+02
3.075767662319820374e+03 5.751212284744291310e+02 9.684856201144223178e+02
3.075788095919881016e+03 5.751029951106764884e+02 9.684703552908406436e+02
3.075808529519941658e+03 5.751148663583541065e+02 9.684757384086327647e+02
3.075828963120002300e+03 5.751228109041487642e+02 9.684770050355667763e+02
3.075849396720062941e+03 5.750510228455793822e+02 9.684668298962531026e+02
3.075869830320123583e+03 5.750454299541886485e+02 9.684663966766321437e+02
3.075890263920184225e+03 5.750507926750018441e+02 9.684668543168555743e+02
3.075910697519779205e+03 5.750573063585295586e+02 9.684676462203763094e+02
3.075931131119839847e+03 5.750630642871489044e+02 9.684679180784589789e+02
3.075951564719900489e+03 5.750732525369144241e+02 9.684696133540111305e+02
3.075971998319961131e+03 5.750806171694725890e+02 9.684687710918805124e+02
3.075992431920021772e+03 5.750862716129016690e+02 9.684688575012864931e+02
3.076012865520082414e+03 5.750927279902741702e+02 9.684702560439201307e+02
3.076033299120143056e+03 5.750986022734871312e+02 9.684700863192870202e+02
3.076053732819855213e+03 5.751049687384684148e+02 9.684716416975993525e+02
3.076074166319798678e+03 5.751109700946241219e+02 9.684714160608451721e+02
3.076094599919859320e+03 5.750511662426137036e+02 9.684675031978902098e+02
3.076115033620037138e+03 5.750460298929723422e+02 9.684681566506360468e+02
3.076135467119980603e+03 5.750491366904427650e+02 9.684679231715681453e+02
3.076155900720041245e+03 5.750534193993308918e+02 9.684674755333710436e+02
3.076176334420219064e+03 5.750614313063492773e+02 9.684679651278465826e+02
3.076196767920162529e+03 5.750668763791281890e+02 9.684675911247283011e+02
3.076217201520223171e+03 5.750717966411164070e+02 9.684681124212298755e+02
3.076237635219935328e+03 5.750759262996223242e+02 9.684687340605421468e+02
3.076258068719878793e+03 5.750821867785621180e+02 9.684682531740897957e+02
3.076278502420056611e+03 5.750944368730422411e+02 9.684708371641571603e+02
3.076298936020117253e+03 5.750989947839565275e+02 9.684717495540252230e+02
3.076319369520060718e+03 5.751060393966175752e+02 9.684724025192549561e+02
3.076339803219772875e+03 5.750363794272418545e+02 9.684661741143381732e+02
3.076360236819833517e+03 5.750300100281680216e+02 9.684656400048954765e+02
3.076380670419894159e+03 5.750363587552124045e+02 9.684671655372787882e+02
3.076401104019954801e+03 5.750431888124891202e+02 9.684688111894082567e+02
3.076421537620015442e+03 5.750494728595422202e+02 9.684708839958927911e+02
3.076441971220076084e+03 5.750560983679263245e+02 9.684707105443842465e+02
3.076462404820136726e+03 5.750605521282968766e+02 9.684698634951336089e+02
3.076482838420197368e+03 5.750649606000478116e+02 9.684687771503040494e+02
3.076503272019792348e+03 5.750733535642746119e+02 9.684697174964127271e+02
3.076523705619852990e+03 5.750810022833275070e+02 9.684688504469075951e+02
3.076544139219913632e+03 5.750872087453462882e+02 9.684696775034976781e+02
3.076564572819974273e+03 5.750925434388683470e+02 9.684722346445811354e+02
3.076585006420034915e+03 5.764707693365985506e+02 9.696311798695759308e+02
3.076605440020095557e+03 5.749947485746639586e+02 9.684639234435682056e+02
3.076625873520039022e+03 5.749816155320108919e+02 9.684615541737451849e+02
3.076646307220216841e+03 5.749840657995612219e+02 9.684612805618600078e+02
3.076666740819811821e+03 5.749884841172998904e+02 9.684615011281755415e+02
3.076687174320220947e+03 5.749945621558208586e+02 9.684613038065145929e+02
3.076707608019933105e+03 5.749988150756537379e+02 9.684626732225364094e+02
3.076728041619993746e+03 5.750027548954307122e+02 9.684622142394932780e+02
3.076748475220054388e+03 5.750082202756838115e+02 9.684625721995950016e+02
3.076768908820115030e+03 5.750131300764609250e+02 9.684633681302495916e+02
3.076789342420175672e+03 5.750184417102310590e+02 9.684648986828942725e+02
3.076809776020236313e+03 5.750226065586484765e+02 9.684657096229544777e+02
3.076830209619831294e+03 5.750355247209074605e+02 9.684659111471695496e+02
3.076850643219891936e+03 5.750382895152184801e+02 9.684660800429924166e+02
3.076871076920069754e+03 5.750451162559029399e+02 9.684706553166055301e+02
3.076891510520130396e+03 5.750494151285361113e+02 9.684703539585843828e+02
3.076911944020073861e+03 5.750517621686025223e+02 9.684692754984939711e+02
3.076932377719786018e+03 5.750575904223087491e+02 9.684714325863016029e+02
3.076952811319846660e+03 5.750618343273143864e+02 9.684707429495875886e+02
3.076973244819790125e+03 5.750674163137999813e+02 9.684696720366902127e+02
3.076993678519967943e+03 5.750738416585567165e+02 9.684703464305972602e+02
3.077014112120028585e+03 5.750804417219234210e+02 9.684718079152319206e+02
3.077034545619972050e+03 5.750830990791879458e+02 9.684711524734818795e+02
3.077054979320149869e+03 5.750878813302890649e+02 9.684723513308676957e+02
3.077075412920210510e+03 5.750042135734429394e+02 9.684640278118147307e+02
3.077095846420153975e+03 5.749925072371524948e+02 9.684613349951760028e+02
3.077116280119866133e+03 5.749935233689108145e+02 9.684612156444893571e+02
3.077136713719926775e+03 5.749977942016982979e+02 9.684604348417948358e+02
3.077157147219870239e+03 5.750055412228074374e+02 9.684613969384744223e+02
3.077177580920048058e+03 5.750084556927675976e+02 9.684619621913261653e+02
3.077198014520108700e+03 5.750125735520657599e+02 9.684627177685473498e+02
3.077218448120169342e+03 5.750157037476280948e+02 9.684635453036053150e+02
3.077238881720229983e+03 5.750212954679775521e+02 9.684636687818571090e+02
3.077259315319824964e+03 5.750257856154444198e+02 9.684660277030754969e+02
3.077279748919885606e+03 5.750317424063464387e+02 9.684655836751035167e+02
3.077300182519946247e+03 5.750357389510951407e+02 9.684671030225526920e+02
3.077320616120006889e+03 5.750384879656621706e+02 9.684684778594701129e+02
3.077341049619950354e+03 5.750422980293585624e+02 9.684689461934192423e+02
3.077361483320128173e+03 5.750454206725523818e+02 9.684696657919653262e+02
3.077381916920188814e+03 5.750485086582370968e+02 9.684704135296886989e+02
3.077402350420132279e+03 5.750503790739061287e+02 9.684698849212824143e+02
3.077422784119844437e+03 5.750550063223477082e+02 9.684700264751274972e+02
3.077443217719905078e+03 5.750614524742171625e+02 9.684717500671193875e+02
3.077463651219848543e+03 5.751193105801573893e+02 9.685063605479834905e+02
3.077484084920026362e+03 5.751667087897671991e+02 9.685341033436113776e+02
3.077504518520087004e+03 5.751651695853340698e+02 9.685302014520085550e+02
3.077524952020030469e+03 5.750959177783768155e+02 9.684829239035396995e+02
3.077545385720208287e+03 5.750839931000509750e+02 9.684735456493107222e+02
3.077565819319803268e+03 5.750316771706889085e+02 9.684662284297482984e+02
3.077586253019981086e+03 5.750277465339959235e+02 9.684657704669173199e+02
3.077606686519924551e+03 5.750310883716782655e+02 9.684660212917743820e+02
3.077627120119985193e+03 5.750345441439167189e+02 9.684678784813897892e+02
3.077647553820163012e+03 5.750370605725291853e+02 9.684693301833199257e+02
3.077667987320106477e+03 5.750413526674545892e+02 9.684691389561102142e+02
3.077688420920167118e+03 5.750458748406605309e+02 9.684690085079892015e+02
3.077708854619879276e+03 5.750482861499858700e+02 9.684693605879716642e+02
3.077729288219939917e+03 5.750555458444026726e+02 9.684704341249016579e+02
3.077749721719883382e+03 5.750579221723500041e+02 9.684709796268668924e+02
3.077770155420061201e+03 5.750624110494674142e+02 9.684720975475325986e+02
3.077790589020121843e+03 5.750670081553162163e+02 9.684724190088971909e+02
3.077811022520065308e+03 5.749979708015619053e+02 9.684640123365394402e+02
3.077831456219777465e+03 5.749899825192909475e+02 9.684624674846473908e+02
3.077851889819838107e+03 5.749941160603652861e+02 9.684618700451674158e+02
3.077872323319781572e+03 5.749990723887863169e+02 9.684622089768092792e+02
3.077892757019959390e+03 5.750012614812465017e+02 9.684620688624537479e+02
3.077913190620020032e+03 5.750056597592775915e+02 9.684624469278963943e+02
3.077933624119963497e+03 5.750088212592609125e+02 9.684625569103935732e+02
3.077954057820141315e+03 5.750143419920062797e+02 9.684632719342915834e+02
3.077974491420201957e+03 5.750190781706874077e+02 9.684653211610666403e+02
3.077994924920145422e+03 5.750243019331956020e+02 9.684662669241794219e+02
3.078015358619857579e+03 5.750321821879646222e+02 9.684679768772962234e+02
3.078035792119801044e+03 5.750323696293427247e+02 9.684667797366722652e+02
3.078056225819978863e+03 5.750369289895722886e+02 9.684679196272330728e+02
3.078076659420039505e+03 5.750421863143890278e+02 9.684687841340329442e+02
3.078097093020100147e+03 5.750446856182508100e+02 9.684691175225427742e+02
3.078117526520043612e+03 5.750490944715768364e+02 9.684696926608758076e+02
3.078137960220221430e+03 5.750509272414150246e+02 9.684673911472161763e+02
3.078158393819816411e+03 5.750578514219838553e+02 9.684727144421000276e+02
3.078178827320225537e+03 5.750606142679032473e+02 9.684714150293881403e+02
3.078199261019937694e+03 5.750648967922379597e+02 9.684723833093737539e+02
3.078219694619998336e+03 5.750718174955657105e+02 9.684728949572129295e+02
3.078240128320176154e+03 5.750774264560966458e+02 9.684729736812709007e+02
3.078260561820119619e+03 5.750804976948206786e+02 9.684736696300280983e+02
3.078280995420180261e+03 5.750885810013461423e+02 9.684747815670716591e+02
3.078301429119892418e+03 5.750177348914629647e+02 9.684651188336423502e+02
3.078321862619835883e+03 5.750069039681328604e+02 9.684624315907666414e+02
3.078342296219896525e+03 5.750118775524341572e+02 9.684632342718809923e+02
3.078362729920074344e+03 5.750152813654307238e+02 9.684642011870113265e+02
3.078383163420017809e+03 5.750196961027672842e+02 9.684650549495386258e+02
3.078403597020078450e+03 5.750247212574963669e+02 9.684653780460031385e+02
3.078424030719790608e+03 5.750299199933574528e+02 9.684660141983619042e+02
3.078444464220199734e+03 5.750304837708416699e+02 9.684666242691226898e+02
3.078464897819794714e+03 5.750337885834624103e+02 9.684667791055346697e+02
3.078485331519972533e+03 5.750388564648134206e+02 9.684689766715083579e+02
3.078505765019915998e+03 5.750422203545547291e+02 9.684699094813854572e+02
3.078526198619976640e+03 5.750471352970648695e+02 9.684707556336611560e+02
3.078546632320154458e+03 5.758207461723194456e+02 9.691275449273923641e+02
3.078567065920215100e+03 5.750057564605064044e+02 9.684655890080338168e+02
3.078587499420158565e+03 5.750068541268420859e+02 9.684652948290002996e+02
3.078607933119870722e+03 5.750075418041394641e+02 9.684651141437240085e+02
3.078628366719931364e+03 5.750108137783383881e+02 9.684666683906710887e+02
3.078648800219874829e+03 5.750139876467368367e+02 9.684663716329100680e+02
3.078669233920052648e+03 5.750166004411030372e+02 9.684668318588774127e+02
3.078689667520113289e+03 5.750175692619766323e+02 9.684661277943522464e+02
3.078710101020056754e+03 5.750209481774151072e+02 9.684670175587618814e+02
3.078730534720234573e+03 5.750232607469082495e+02 9.684690553483156918e+02
3.078750968220178038e+03 5.750244095528679509e+02 9.684682809852928358e+02
3.078771401819773018e+03 5.750301640892288333e+02 9.684697756466529199e+02
3.078791835519950837e+03 5.750360933432003776e+02 9.684695060102977777e+02
3.078812269120011479e+03 5.750394260853721562e+02 9.684695028673430670e+02
3.078832702619954944e+03 5.750474519827455424e+02 9.684728350448077663e+02
3.078853136320132762e+03 5.750483221715335276e+02 9.684717726266644604e+02
3.078873569820076227e+03 5.750534977471348839e+02 9.684721098076316821e+02
3.078894003519788384e+03 5.750602310593164930e+02 9.684719372896616960e+02
3.078914437119849026e+03 5.750643777831858188e+02 9.684706665793789853e+02
3.078934870619792491e+03 5.750737705987655772e+02 9.684734759197153835e+02
3.078955304319970310e+03 5.750812232212758772e+02 9.684745541031054472e+02
3.078975737920030951e+03 5.750858867543164479e+02 9.684752335561744303e+02
3.078996171520091593e+03 5.750925085887174646e+02 9.684752396798985501e+02
3.079016605120152235e+03 5.751004388319672671e+02 9.684760803719431124e+02
3.079037038720212877e+03 5.749880116453011851e+02 9.684632884087563980e+02
3.079057472319807857e+03 5.749641008320227229e+02 9.684589787202125990e+02
3.079077906019985676e+03 5.749720207900760442e+02 9.684610252532301047e+02
3.079098339519929141e+03 5.749762571005836662e+02 9.684614727917166874e+02
3.079118773119989783e+03 5.749809937238344446e+02 9.684627427142410170e+02
3.079139206820167601e+03 5.749855032598796925e+02 9.684622948765385217e+02
3.079159640320111066e+03 5.749911019612236487e+02 9.684638429653989533e+02
3.079180073920171708e+03 5.749940177000895574e+02 9.684639215675106243e+02
3.079200507619883865e+03 5.749990454011214069e+02 9.684643710565239871e+02
3.079220941119827330e+03 5.750666854804842387e+02 9.685040475660581478e+02
3.079241374719887972e+03 5.751095140389055587e+02 9.685293692086759165e+02
3.079261808420065790e+03 5.751004347713183051e+02 9.685217412108004282e+02
3.079282241920009255e+03 5.750298398198924588e+02 9.684737033378461319e+02
3.079302675520069897e+03 5.750258938076702862e+02 9.684682908121977789e+02
3.079323109219782054e+03 5.750313648688792227e+02 9.684669709115102023e+02
3.079343542720191181e+03 5.750341037387306642e+02 9.684681061087463831e+02
3.079363976319786161e+03 5.750398113143074852e+02 9.684685200336765547e+02
3.079384410019963980e+03 5.750452320780427726e+02 9.684697180620565859e+02
3.079404843620024621e+03 5.750480193293110460e+02 9.684691932579939930e+02
3.079425277119968086e+03 5.750523580020948202e+02 9.684694002417489855e+02
3.079445710820145905e+03 5.750580405584167920e+02 9.684721103640719093e+02
3.079466144420206547e+03 5.750625899002369579e+02 9.684714569490703298e+02
3.079486577920150012e+03 5.750681549555140464e+02 9.684724254230444558e+02
3.079507011619862169e+03 5.750717362432759501e+02 9.684725907020198292e+02
3.079527445219922811e+03 5.750033092767280323e+02 9.684648943920328747e+02
3.079547878719866276e+03 5.749939305354229191e+02 9.684620406311198622e+02
3.079568312420044094e+03 5.749951177677752412e+02 9.684618823290435330e+02
3.079588745919987559e+03 5.750014362428721597e+02 9.684613415248855972e+02
3.079609179620165378e+03 5.750061164858931306e+02 9.684631244125266676e+02
3.079629613220226020e+03 5.750071418332532858e+02 9.684624029101789802e+02
3.079650046720169485e+03 5.750111866936723573e+02 9.684637537123852553e+02
3.079670480419881642e+03 5.750146359233093563e+02 9.684664450936326148e+02
3.079690914019942284e+03 5.750154837656343716e+02 9.684653539827838813e+02
3.079711347519885749e+03 5.750202374102000249e+02 9.684657591846662399e+02
3.079731781220063567e+03 5.750220353904601325e+02 9.684664141827613548e+02
3.079752214820124209e+03 5.750264908221502083e+02 9.684660480072141127e+02
3.079772648320067674e+03 5.750290849920586425e+02 9.684673812164082847e+02
3.079793082019779831e+03 5.750294914004873590e+02 9.684678117811341735e+02
3.079813515619840473e+03 5.750309096552715573e+02 9.684672288977072867e+02
3.079833949219901115e+03 5.750314569394997761e+02 9.684670538791324361e+02
3.079854382819961756e+03 5.750335146784670997e+02 9.684678082724894921e+02
3.079874816420022398e+03 5.750351629229904802e+02 9.684677041496154288e+02
3.079895250020083040e+03 5.750384323035532361e+02 9.684694885493810261e+02
3.079915683719795197e+03 5.750374444321579404e+02 9.684679280948446376e+02
3.079936117220204324e+03 5.750377544824431197e+02 9.684683566079717139e+02
3.079956550819799304e+03 5.750416677741746980e+02 9.684692481412851066e+02
3.079976984519977123e+03 5.750423915772646524e+02 9.684690557410071960e+02
3.079997418019920588e+03 5.750435561626644585e+02 9.684700613084030465e+02
3.080017851619981229e+03 5.750441452862049800e+02 9.684690064385810047e+02
3.080038285320159048e+03 5.750453043328645890e+02 9.684703959086082250e+02
3.080058718820102513e+03 5.750439945981745495e+02 9.684700364084552575e+02
3.080079152420163155e+03 5.750448539027023571e+02 9.684696628115042358e+02
3.080099586119875312e+03 5.750458386271121753e+02 9.684695543449010984e+02
3.080120019619818777e+03 5.750481662129892584e+02 9.684698442121008384e+02
3.080140453219879419e+03 5.750486617877852495e+02 9.684693215140446227e+02
3.080160886920057237e+03 5.750505540102109308e+02 9.684701652763311586e+02
3.080181320420000702e+03 5.750525958958689898e+02 9.684713632991757777e+02
3.080201754020061344e+03 5.750538726203615170e+02 9.684709516987645657e+02
3.080222187719773501e+03 5.750532483417506455e+02 9.684708087606343270e+02
3.080242621319834143e+03 5.750575261227787678e+02 9.684719240054263310e+02
3.080263054819777608e+03 5.750188718481933847e+02 9.684672734372867353e+02
3.080283488519955426e+03 5.749922823284764490e+02 9.684627208287636222e+02
3.080303922120016068e+03 5.749906027535852218e+02 9.684629499904691556e+02
3.080324355720076710e+03 5.749937612038647785e+02 9.684639100253700690e+02
3.080344789320137352e+03 5.749931394364909920e+02 9.684633424834413518e+02
3.080365222820080817e+03 5.749998077070081308e+02 9.684641138545439389e+02
3.080385656519792974e+03 5.750009611226025754e+02 9.684635703912521194e+02
3.080406090119853616e+03 5.750054929194985789e+02 9.684658242607583816e+02
3.080426523619797081e+03 5.750062142067765762e+02 9.684637190108537652e+02
3.080446957319974899e+03 5.750076389889400161e+02 9.684644580753991931e+02
3.080467390920035541e+03 5.750109945224396597e+02 9.684646533936449941e+02
3.080487824419979006e+03 5.750123506748631144e+02 9.684648525065309741e+02
3.080508258120156825e+03 5.774221818352912123e+02 9.693984509563821348e+02
3.080528691720217466e+03 5.750321385769026392e+02 9.684675363486412607e+02
3.080549125220160931e+03 5.750348959693153574e+02 9.684678905244969656e+02
3.080569558919873089e+03 5.750358399972660663e+02 9.684675849983672151e+02
3.080589992519933730e+03 5.750393843443243895e+02 9.684693653062164458e+02
3.080610426019877195e+03 5.750455793744256425e+02 9.684702809831193235e+02
3.080630859720055014e+03 5.750458793940151736e+02 9.684704029289597429e+02
