# detrended lc with Rbf (quintic, 100)
# t, f, x, y
3074.766416 1.000406 0.999977 0.999965
3074.786849 1.000445 0.999986 0.999965
3074.807283 1.000232 0.999996 0.999965
3074.827717 1.000477 1.000004 0.999964
3074.848150 1.000327 1.000013 0.999965
3074.868584 1.000149 0.999925 0.999964
3074.889017 1.000191 0.999913 0.999964
3074.909451 1.000215 0.999929 0.999967
3074.929885 1.000298 0.999933 0.999964
3074.950318 1.000293 0.999941 0.999965
3074.970752 1.000359 0.999950 0.999963
3074.991185 1.000439 0.999963 0.999963
3075.011619 1.000473 0.999971 0.999962
3075.032053 1.000436 0.999984 0.999962
3075.052486 1.000407 0.999997 0.999964
3075.072920 1.000511 1.000007 0.999963
3075.093353 1.000529 1.000017 0.999964
3075.113787 0.999714 0.999839 0.999964
3075.134221 0.999796 0.999810 0.999962
3075.154654 0.999896 0.999818 0.999961
3075.175088 0.999933 0.999825 0.999961
3075.195521 1.000144 0.999838 0.999960
3075.215955 1.000113 0.999851 0.999959
3075.236389 1.000062 0.999858 0.999960
3075.256822 1.000180 0.999871 0.999959
3075.277256 1.000366 0.999881 0.999960
3075.297689 1.000230 0.999895 0.999961
3075.318123 1.000249 0.999905 0.999962
3075.338557 1.000314 0.999917 0.999963
3075.358990 1.000275 0.999929 0.999965
3075.379424 1.000343 0.999936 0.999966
3075.399858 1.000448 0.999944 0.999965
3075.420291 1.000452 0.999956 0.999966
3075.440725 1.000586 0.999964 0.999964
3075.461158 1.000517 0.999977 0.999965
3075.481592 1.000622 0.999988 0.999966
3075.502025 1.000617 1.000003 0.999967
3075.522459 1.000576 1.000015 0.999968
3075.542893 1.000641 1.000023 0.999968
3075.563326 1.000688 1.000033 0.999968
3075.583760 1.000710 1.000047 0.999970
3075.604194 1.000439 0.999951 0.999964
3075.624627 1.000444 0.999946 0.999964
3075.645061 1.000512 0.999959 0.999965
3075.665494 1.000585 0.999970 0.999967
3075.685928 1.000616 0.999980 0.999965
3075.706362 0.993558 1.000072 0.999996
3075.726795 0.985838 1.000174 1.000032
3075.747229 0.986574 1.000179 1.000028
3075.767662 0.997381 1.000065 0.999983
3075.788096 1.001099 1.000033 0.999968
3075.808530 1.000647 1.000054 0.999973
3075.828963 1.000523 1.000068 0.999975
3075.849397 1.000451 0.999943 0.999964
3075.869830 1.000554 0.999933 0.999964
3075.890264 1.000582 0.999943 0.999964
3075.910698 1.000603 0.999954 0.999965
3075.931131 1.000757 0.999964 0.999965
3075.951565 1.000579 0.999982 0.999967
3075.971998 1.000625 0.999995 0.999966
3075.992432 1.000651 1.000004 0.999966
3076.012866 1.000542 1.000016 0.999968
3076.033299 1.000712 1.000026 0.999967
3076.053733 1.000598 1.000037 0.999969
3076.074166 1.000665 1.000047 0.999969
3076.094600 1.000435 0.999943 0.999965
3076.115034 1.000439 0.999934 0.999965
3076.135467 1.000540 0.999940 0.999965
3076.155901 1.000580 0.999947 0.999965
3076.176334 1.000603 0.999961 0.999965
3076.196768 1.000595 0.999971 0.999965
3076.217202 1.000657 0.999979 0.999965
3076.237635 1.000640 0.999986 0.999966
3076.258069 1.000667 0.999997 0.999966
3076.278502 1.000571 1.000019 0.999968
3076.298936 1.000498 1.000026 0.999969
3076.319370 1.000576 1.000039 0.999970
3076.339803 1.000182 0.999918 0.999963
3076.360237 1.000368 0.999907 0.999963
3076.380670 1.000474 0.999918 0.999964
3076.401104 1.000428 0.999929 0.999966
3076.421538 1.000337 0.999940 0.999968
3076.441971 1.000420 0.999952 0.999968
3076.462405 1.000519 0.999960 0.999967
3076.482838 1.000615 0.999967 0.999966
3076.503272 1.000543 0.999982 0.999967
3076.523706 1.000569 0.999995 0.999966
3076.544139 1.000569 1.000006 0.999967
3076.564573 1.000616 1.000015 0.999970
