# Time, Flux
3.074235142120160162e+03 1.016560839326002164e+00
3.074255575720220804e+03 1.016694675209267595e+00
3.074276009319815785e+03 1.016692259399100351e+00
3.074296442919876426e+03 1.016732120266859996e+00
3.074316876519937068e+03 1.016706995841120564e+00
3.074337310119997710e+03 1.016708686908237569e+00
3.074357743720058352e+03 1.016732361847876742e+00
3.074378177220001817e+03 1.016327472063846216e+00
3.074398610920179635e+03 1.016710377975354795e+00
3.074419044519774616e+03 1.016841314886419489e+00
3.074439478020183742e+03 1.016807735125094592e+00
3.074459911719895899e+03 1.017070575271290966e+00
3.074480345319956541e+03 1.017030714403531544e+00
3.074500778819900006e+03 1.017089660171612175e+00
3.074521212520077825e+03 1.017308290991747910e+00
3.074541646120138466e+03 1.017277127040590479e+00
3.074562079720199108e+03 1.017327859054102612e+00
3.074582513319794089e+03 1.017424008298758897e+00
3.074602946919854730e+03 1.017404923398437688e+00
3.074623380620032549e+03 8.964675337780022568e-01
3.074643814119976014e+03 1.017338247037821830e+00
3.074664247720036656e+03 1.017537309795602862e+00
3.074684681420214474e+03 1.017560018411174827e+00
3.074705115019809455e+03 1.017595047658599983e+00
3.074725548520218581e+03 1.017605677223335725e+00
3.074745982219930738e+03 1.017660274533115583e+00
3.074766415819991380e+03 1.017738546782534392e+00
3.074786849319934845e+03 1.017807638953317495e+00
3.074807283020112664e+03 1.017618481017222187e+00
3.074827716620173305e+03 1.017894608119338296e+00
3.074848150120116770e+03 1.017768019666574819e+00
3.074868583819828928e+03 1.017611716748753947e+00
3.074889017419889569e+03 1.017677909947336534e+00
3.074909450919833034e+03 1.017724051921530926e+00
3.074929884620010853e+03 1.017830589149906428e+00
3.074950318220071495e+03 1.017845567172943388e+00
3.074970751720014960e+03 1.017932294757947442e+00
3.074991185420192778e+03 1.018033034041921470e+00
3.075011619019787759e+03 1.018084973960517337e+00
3.075032052619848400e+03 1.018064439574095648e+00
3.075052486219909042e+03 1.018051394199192661e+00
3.075072919819969684e+03 1.018172426288571630e+00
3.075093353420030326e+03 1.018205522887862813e+00
3.075113787020090967e+03 1.017390186956417475e+00
3.075134220620151609e+03 1.017486577782090729e+00
3.075154654220212251e+03 1.017601811927068223e+00
3.075175087819807231e+03 1.017650852873463352e+00
3.075195521419867873e+03 1.017877697448167584e+00
3.075215955120045692e+03 1.017857163061746117e+00
3.075236388619989157e+03 1.017815852707886215e+00
3.075256822220049798e+03 1.017946064875900669e+00
3.075277255920227617e+03 1.018145610795715195e+00
3.075297689420171082e+03 1.018016123370750758e+00
3.075318123020231724e+03 1.018044871511740945e+00
3.075338556719943881e+03 1.018118795302858759e+00
3.075358990219887346e+03 1.018087631351701328e+00
3.075379423819947988e+03 1.018165420439086644e+00
3.075399857520125806e+03 1.018279688259997373e+00
3.075420291020069271e+03 1.018292250472866867e+00
3.075440724620129913e+03 1.018435749596801276e+00
3.075461158319842070e+03 1.018372696951436174e+00
3.075481591819785535e+03 1.018486481610313410e+00
3.075502025419846177e+03 1.018488414258447383e+00
3.075522459120023996e+03 1.018454351335089214e+00
3.075542892720084637e+03 1.018526825640106548e+00
3.075563326220028102e+03 1.018582389273953170e+00
3.075583759920205921e+03 1.018611378995960104e+00
3.075604193519800901e+03 1.018342016162312236e+00
3.075624627119861543e+03 1.018354578375181951e+00
3.075645060719922185e+03 1.018431159557483534e+00
3.075665494319982827e+03 1.018512572360119828e+00
3.075685928020160645e+03 1.018550742160762246e+00
3.075706361520104110e+03 1.011372886991842801e+00
3.075726795120164752e+03 1.003521745529312170e+00
3.075747228720225394e+03 1.004278135692676655e+00
3.075767662319820374e+03 1.015286741043797125e+00
3.075788095919881016e+03 1.019079321425355511e+00
3.075808529519941658e+03 1.018626357018997064e+00
3.075828963120002300e+03 1.018507982320801863e+00
3.075849396720062941e+03 1.018442513865269516e+00
3.075869830320123583e+03 1.018555090619063241e+00
3.075890263920184225e+03 1.018591569352588655e+00
3.075910697519779205e+03 1.018621042236629082e+00
3.075931131119839847e+03 1.018785075746984958e+00
3.075951564719900489e+03 1.018612103739010344e+00
3.075971998319961131e+03 1.018667425791840220e+00
3.075992431920021772e+03 1.018701247134181642e+00
3.076012865520082414e+03 1.018598816783090388e+00
3.076033299120143056e+03 1.018779519383600229e+00
3.076053732819855213e+03 1.018670807926074229e+00
3.076074166319798678e+03 1.018747389108376034e+00
3.076094599919859320e+03 1.018520302952654832e+00
3.076115033620037138e+03 1.018531657260441037e+00
3.076135467119980603e+03 1.018641818204067295e+00
3.076155900720041245e+03 1.018690134407412184e+00
3.076176334420219064e+03 1.018720332034502851e+00
3.076196767920162529e+03 1.018719365710435865e+00
3.076217201520223171e+03 1.018789424205285954e+00
3.076237635219935328e+03 1.018778311478516718e+00
3.076258068719878793e+03 1.018812857563908381e+00
3.076278502420056611e+03 1.018720815196536345e+00
3.076298936020117253e+03 1.018651964606769766e+00
3.076319369520060718e+03 1.018737725867707056e+00
3.076339803219772875e+03 1.018341774581295489e+00
3.076360236819833517e+03 1.018535522556708539e+00
3.076380670419894159e+03 1.018648340891519011e+00
