# Time, flux, Xc, Yc
3.074153407719917595e+03 4.207045000000000000e+06 5.750732844550034315e+02 9.684796399848349893e+02
3.074173841319978237e+03 4.206547000000000000e+06 5.750839683949805021e+02 9.684797923332367873e+02
3.074194274920038879e+03 4.207569000000000000e+06 5.750909220977719087e+02 9.684790305280793064e+02
3.074214708520099521e+03 4.207937000000000000e+06 5.750995592376976902e+02 9.684778298724529577e+02
3.074235142120160162e+03 4.207950000000000000e+06 5.751089307144809482e+02 9.684776335270142908e+02
3.074255575720220804e+03 4.208504000000000000e+06 5.751184309198707751e+02 9.684758895322423768e+02
3.074276009319815785e+03 4.208494000000000000e+06 5.751264822998440422e+02 9.684780695897392206e+02
3.074296442919876426e+03 4.208659000000000000e+06 5.751346915965393691e+02 9.684794541444198330e+02
3.074316876519937068e+03 4.208555000000000000e+06 5.751422982472606691e+02 9.684838318615296657e+02
3.074337310119997710e+03 4.208562000000000000e+06 5.751496504031542827e+02 9.684831018290808515e+02
3.074357743720058352e+03 4.208660000000000000e+06 5.751574315815485079e+02 9.684835189822888424e+02
3.074378177220001817e+03 4.206984000000000000e+06 5.750250514382749998e+02 9.684715513536538083e+02
3.074398610920179635e+03 4.208569000000000000e+06 5.750012800075274981e+02 9.684674237252614830e+02
3.074419044519774616e+03 4.209111000000000000e+06 5.750081007604693468e+02 9.684665745331971038e+02
3.074439478020183742e+03 4.208972000000000000e+06 5.750161008436264183e+02 9.684677878588880731e+02
3.074459911719895899e+03 4.210060000000000000e+06 5.750188610138573040e+02 9.684664893136914543e+02
3.074480345319956541e+03 4.209895000000000000e+06 5.750265196637921008e+02 9.684671734093130908e+02
3.074500778819900006e+03 4.210139000000000000e+06 5.750324692367639727e+02 9.684666691527287412e+02
3.074521212520077825e+03 4.211044000000000000e+06 5.750374821540691528e+02 9.684672772357638451e+02
3.074541646120138466e+03 4.210915000000000000e+06 5.750450947121943273e+02 9.684686964709570702e+02
3.074562079720199108e+03 4.211125000000000000e+06 5.750513943423669616e+02 9.684694318026655537e+02
3.074582513319794089e+03 4.211523000000000000e+06 5.750581533093848066e+02 9.684696217971503529e+02
3.074602946919854730e+03 4.211444000000000000e+06 5.750665360859600241e+02 9.684694373236353613e+02
3.074623380620032549e+03 3.710836000000000000e+06 5.759734245868047537e+02 9.684957537870172928e+02
3.074643814119976014e+03 4.211168000000000000e+06 5.750433670658591154e+02 9.684686177326575489e+02
3.074664247720036656e+03 4.211992000000000000e+06 5.750466411142281231e+02 9.684672798523833990e+02
3.074684681420214474e+03 4.212086000000000000e+06 5.750507145390669166e+02 9.684675711749474658e+02
3.074705115019809455e+03 4.212231000000000000e+06 5.750557832654476442e+02 9.684677459522043819e+02
3.074725548520218581e+03 4.212275000000000000e+06 5.750613571051272856e+02 9.684676622490221689e+02
3.074745982219930738e+03 4.212501000000000000e+06 5.750657376698545704e+02 9.684673050522718540e+02
3.074766415819991380e+03 4.212825000000000000e+06 5.750707829069567651e+02 9.684673424602256091e+02
3.074786849319934845e+03 4.213111000000000000e+06 5.750757454527069967e+02 9.684674949223981457e+02
3.074807283020112664e+03 4.212328000000000000e+06 5.750811988050313630e+02 9.684680274185675444e+02
3.074827716620173305e+03 4.213471000000000000e+06 5.750859251196934565e+02 9.684671884534152468e+02
3.074848150120116770e+03 4.212947000000000000e+06 5.750911597036468947e+02 9.684678831706166875e+02
3.074868583819828928e+03 4.212300000000000000e+06 5.750404968781900834e+02 9.684666882700662427e+02
3.074889017419889569e+03 4.212574000000000000e+06 5.750339645072110670e+02 9.684665304395839485e+02
3.074909450919833034e+03 4.212765000000000000e+06 5.750426546460578265e+02 9.684701396826075097e+02
3.074929884620010853e+03 4.213206000000000000e+06 5.750450906032128842e+02 9.684669399027724239e+02
3.074950318220071495e+03 4.213268000000000000e+06 5.750498017216090147e+02 9.684673460126438158e+02
3.074970751720014960e+03 4.213627000000000000e+06 5.750551902197323670e+02 9.684660198921261554e+02
3.074991185420192778e+03 4.214044000000000000e+06 5.750623460504921240e+02 9.684660153050134568e+02
3.075011619019787759e+03 4.214259000000000000e+06 5.750672383923247253e+02 9.684648909808342978e+02
3.075032052619848400e+03 4.214174000000000000e+06 5.750743044781729623e+02 9.684650704978009799e+02
3.075052486219909042e+03 4.214120000000000000e+06 5.750820254287965554e+02 9.684667100130038762e+02
3.075072919819969684e+03 4.214621000000000000e+06 5.750876838035970877e+02 9.684660438032268530e+02
3.075093353420030326e+03 4.214758000000000000e+06 5.750934919632396713e+02 9.684672299097599080e+02
3.075113787020090967e+03 4.211383000000000000e+06 5.749913087933346105e+02 9.684664714655494890e+02
3.075134220620151609e+03 4.211782000000000000e+06 5.749746513471020535e+02 9.684646973656281261e+02
3.075154654220212251e+03 4.212259000000000000e+06 5.749788519651806382e+02 9.684643173651003281e+02
3.075175087819807231e+03 4.212462000000000000e+06 5.749833843011521139e+02 9.684639415144872601e+02
3.075195521419867873e+03 4.213401000000000000e+06 5.749908399414155156e+02 9.684626011148712905e+02
3.075215955120045692e+03 4.213316000000000000e+06 5.749980798971641889e+02 9.684623721553284668e+02
3.075236388619989157e+03 4.213145000000000000e+06 5.750021055529776959e+02 9.684625618154608446e+02
3.075256822220049798e+03 4.213684000000000000e+06 5.750096409697547415e+02 9.684622615269678363e+02
3.075277255920227617e+03 4.214510000000000000e+06 5.750153111512370288e+02 9.684630239339804803e+02
