# Time, Flux
3.075890263920184225e+03 1.003309933594640047e+00
3.075910697519779205e+03 1.003366663985150176e+00
3.075931131119839847e+03 1.003675683185490053e+00
3.075951564719900489e+03 1.003045652994946302e+00
3.075971998319961131e+03 1.003199240149742044e+00
3.075992431920021772e+03 1.003138819977735352e+00
3.076012865520082414e+03 1.002944875837820327e+00
3.076033299120143056e+03 1.003060642732276131e+00
3.076053732819855213e+03 1.002983618543534572e+00
3.076074166319798678e+03 1.003013598018194452e+00
3.076094599919859320e+03 1.003166954561646840e+00
3.076115033620037138e+03 1.003188632027939287e+00
3.076135467119980603e+03 1.003302323420303344e+00
3.076155900720041245e+03 1.003222762506782884e+00
3.076176334420219064e+03 1.003300478529554951e+00
3.076196767920162529e+03 1.003257354208313412e+00
3.076217201520223171e+03 1.003246746086510655e+00
3.076237635219935328e+03 1.003221840061408798e+00
3.076258068719878793e+03 1.003416476035354110e+00
3.076278502420056611e+03 1.003109071114419049e+00
3.076298936020117253e+03 1.002851939466374853e+00
3.076319369520060718e+03 1.002966553304112995e+00
3.076339803219772875e+03 1.003121754738313554e+00
3.076360236819833517e+03 1.003258276653687719e+00
3.076380670419894159e+03 1.003330227392871254e+00
3.076401104019954801e+03 1.003176870849418867e+00
3.076421537620015442e+03 1.003184019801068638e+00
3.076441971220076084e+03 1.003200623817803283e+00
3.076462404820136726e+03 1.003246976697854231e+00
3.076482838420197368e+03 1.003230603292463163e+00
3.076503272019792348e+03 1.003208464603483563e+00
3.076523705619852990e+03 1.002823574271119789e+00
3.076544139219913632e+03 1.002998608280864623e+00
3.076625873520039022e+03 1.003365741539776090e+00
3.076646307220216841e+03 1.003449914680167199e+00
3.076666740819811821e+03 1.003293560189248756e+00
3.076687174320220947e+03 1.003468824810337168e+00
3.076707608019933105e+03 1.003246746086510655e+00
3.076728041619993746e+03 1.003293098966561825e+00
3.076748475220054388e+03 1.003122215961000485e+00
3.076768908820115030e+03 1.003330688615558408e+00
3.076789342420175672e+03 1.003298403027463204e+00
3.076809776020236313e+03 1.003266348050711354e+00
3.076830209619831294e+03 1.003272343945643463e+00
3.076850643219891936e+03 1.003194858534214751e+00
3.076871076920069754e+03 1.003064563125116271e+00
3.076891510520130396e+03 1.003169030063738587e+00
3.076911944020073861e+03 1.003261043989809975e+00
3.076932377719786018e+03 1.003197164647650297e+00
3.076952811319846660e+03 1.003226682899623023e+00
3.076973244819790125e+03 1.003463059526748635e+00
3.076993678519967943e+03 1.003266348050711354e+00
3.077014112120028585e+03 1.002687513578432776e+00
3.077034545619972050e+03 1.003118526179503922e+00
3.077054979320149869e+03 1.003051879501221766e+00
3.077075412920210510e+03 1.003412786253857547e+00
3.077095846420153975e+03 1.003339913069299927e+00
3.077116280119866133e+03 1.003499265507684202e+00
3.077136713719926775e+03 1.003725034013007056e+00
3.077157147219870239e+03 1.003311778485388217e+00
3.077177580920048058e+03 1.003312931542105879e+00
3.077198014520108700e+03 1.003374965993517387e+00
3.077218448120169342e+03 1.003175717792701205e+00
3.077238881720229983e+03 1.003423624987003882e+00
3.077259315319824964e+03 1.003150350544912195e+00
3.077279748919885606e+03 1.003240750191578767e+00
3.077300182519946247e+03 1.003292176521187518e+00
3.077320616120006889e+03 1.003176640238075512e+00
3.077341049619950354e+03 1.003126828187871356e+00
3.077361483320128173e+03 1.003086240591408718e+00
3.077381916920188814e+03 1.003216766611850996e+00
3.077402350420132279e+03 1.003181021853602584e+00
3.077422784119844437e+03 1.003184942246442724e+00
3.077443217719905078e+03 1.003062026400337370e+00
3.077463651219848543e+03 9.950183027377559331e-01
3.077484084920026362e+03 9.884456488355989334e-01
3.077504518520087004e+03 9.893544881404794378e-01
3.077524952020030469e+03 1.000659056200678521e+00
3.077545385720208287e+03 1.003005065398483664e+00
3.077565819319803268e+03 1.003273958225048057e+00
3.077586253019981086e+03 1.003265886828024422e+00
3.077606686519924551e+03 1.003416245424010755e+00
3.077627120119985193e+03 1.003091775263653673e+00
3.077647553820163012e+03 1.003101691551425700e+00
3.077667987320106477e+03 1.003150119933568618e+00
3.077688420920167118e+03 1.003298864250150135e+00
3.077708854619879276e+03 1.003138128143704622e+00
3.077729288219939917e+03 1.002891143394776252e+00
3.077749721719883382e+03 1.003214229887071873e+00
3.077770155420061201e+03 1.003186095303160386e+00
3.077790589020121843e+03 1.003185864691816809e+00
3.077811022520065308e+03 1.003337376344520804e+00
3.077831456219777465e+03 1.003115067009350936e+00
3.077851889819838107e+03 1.003302323420303344e+00
3.077872323319781572e+03 1.003206850324078747e+00
3.077892757019959390e+03 1.003369892543959585e+00
3.077913190620020032e+03 1.003224607397531054e+00
3.077933624119963497e+03 1.003195089145558327e+00
3.077954057820141315e+03 1.003204082987956269e+00
3.077974491420201957e+03 1.003243056305014091e+00
3.077994924920145422e+03 1.003164417836867939e+00
3.078015358619857579e+03 1.002776990779725264e+00
3.078035792119801044e+03 1.003281568399384982e+00
3.078056225819978863e+03 1.003297941804776050e+00
3.078076659420039505e+03 1.003105611944265840e+00
3.078097093020100147e+03 1.003245362418449416e+00
3.078117526520043612e+03 1.003042193824793094e+00
3.078137960220221430e+03 1.004200554603380979e+00
3.078158393819816411e+03 1.002721182834589220e+00
3.078178827320225537e+03 1.003080475307820407e+00
3.078199261019937694e+03 1.003221609450065221e+00
3.078219694619998336e+03 1.003086932425439448e+00
3.078240128320176154e+03 1.003126828187871356e+00
3.078260561820119619e+03 1.002935420772735453e+00
3.078280995420180261e+03 1.002817808987531256e+00
3.078301429119892418e+03 1.003279492897293013e+00
3.078321862619835883e+03 1.003175717792701205e+00
3.078342296219896525e+03 1.002921814703466641e+00
3.078362729920074344e+03 1.003120140458908738e+00
3.078383163420017809e+03 1.003036889763891715e+00
3.078403597020078450e+03 1.003080475307820407e+00
3.078424030719790608e+03 1.002997916446833893e+00
3.078444464220199734e+03 1.003049573387786442e+00
3.078464897819794714e+03 1.003519098083228256e+00
3.078485331519972533e+03 1.002915588197191177e+00
3.078505765019915998e+03 1.003095003822463083e+00
3.078587499420158565e+03 1.003113913952633274e+00
3.078607933119870722e+03 1.003225760454248938e+00
3.078628366719931364e+03 1.003019132690439408e+00
3.078648800219874829e+03 1.003104920110235332e+00
3.078669233920052648e+03 1.003118756790847499e+00
3.078689667520113289e+03 1.003105381332922263e+00
3.078710101020056754e+03 1.003001836839674032e+00
3.078730534720234573e+03 1.002960788020524463e+00
3.078750968220178038e+03 1.003125213908466540e+00
3.078771401819773018e+03 1.002880765884317071e+00
3.078791835519950837e+03 1.003000683782956370e+00
3.078812269120011479e+03 1.002978314482633415e+00
3.078832702619954944e+03 1.003079783473789677e+00
3.078853136320132762e+03 1.003034583650456391e+00
3.078873569820076227e+03 1.003163034168806700e+00
3.078894003519788384e+03 1.002805125363636751e+00
3.078914437119849026e+03 1.003270729666238648e+00
3.078934870619792491e+03 1.002696507420830718e+00
3.078955304319970310e+03 1.002598497599827443e+00
3.078975737920030951e+03 1.002955945182310238e+00
3.078996171520091593e+03 1.002846404794129898e+00
3.079016605120152235e+03 1.002706654319946322e+00
3.079037038720212877e+03 1.003320772327786159e+00
3.079057472319807857e+03 1.003416245424010755e+00
3.079077906019985676e+03 1.003275572504452873e+00
3.079098339519929141e+03 1.003188401416595710e+00
3.079118773119989783e+03 1.003247668531884962e+00
3.079139206820167601e+03 1.003142509759231915e+00
3.079159640320111066e+03 1.003118064956816990e+00
3.079180073920171708e+03 1.003166954561646840e+00
3.079200507619883865e+03 1.002943261558415733e+00
3.079220941119827330e+03 9.937296465500693454e-01
3.079241374719887972e+03 9.881557703767724909e-01
3.079261808420065790e+03 9.900548547908023522e-01
3.079282241920009255e+03 1.001374873811018418e+00
3.079302675520069897e+03 1.002869465928483805e+00
3.079323109219782054e+03 1.002937496274827200e+00
3.079343542720191181e+03 1.002907978022854474e+00
3.079363976319786161e+03 1.002858627195337471e+00
3.079384410019963980e+03 1.002915818808534754e+00
3.079404843620024621e+03 1.002917663699282924e+00
3.079425277119968086e+03 1.003015212297599268e+00
3.079445710820145905e+03 1.002676444233942865e+00
3.079466144420206547e+03 1.003047959108381626e+00
3.079486577920150012e+03 1.003046806051663964e+00
3.079507011619862169e+03 1.002959404352463224e+00
3.079527445219922811e+03 1.003029971423585742e+00
3.079547878719866276e+03 1.003280184731323743e+00
3.079568312420044094e+03 1.003264272548619607e+00
3.079588745919987559e+03 1.003027895921493773e+00
3.079609179620165378e+03 1.003103305830830516e+00
3.079629613220226020e+03 1.003065485570490356e+00
3.079650046720169485e+03 1.002905441298075573e+00
3.079670480419881642e+03 1.003032046925677490e+00
3.079690914019942284e+03 1.002956406404997169e+00
3.079711347519885749e+03 1.002879151604912256e+00
3.079731781220063567e+03 1.003090391595592434e+00
3.079752214820124209e+03 1.002828417109334014e+00
3.079772648320067674e+03 1.002918586144657231e+00
3.079793082019779831e+03 1.002843406846664065e+00
3.079813515619840473e+03 1.002927810598398750e+00
3.079833949219901115e+03 1.002982465486816910e+00
3.079854382819961756e+03 1.002902904573296672e+00
3.079874816420022398e+03 1.003137205698330536e+00
3.079895250020083040e+03 1.002896908678364563e+00
3.079915683719795197e+03 1.002946028894537989e+00
3.079936117220204324e+03 1.002983849154878149e+00
3.079956550819799304e+03 1.002630783187922647e+00
3.079976984519977123e+03 1.002648770872718531e+00
3.079997418019920588e+03 1.002619713843432736e+00
3.080017851619981229e+03 1.002951332955439367e+00
3.080038285320159048e+03 1.002761770431051858e+00
3.080058718820102513e+03 1.002967475749487081e+00
3.080079152420163155e+03 1.002962402299929279e+00
