# Time, flux, Xc, Yc
3.072723055419977754e+03 4.342307000000000000e+06 5.906673316741538429e+02 9.792125899896069541e+02
3.072743489020038396e+03 4.342618000000000000e+06 5.906724816688919191e+02 9.792124658443362932e+02
3.072763922620099038e+03 4.343150000000000000e+06 5.906770949656355469e+02 9.792101138574537345e+02
3.072784356319811195e+03 4.343146000000000000e+06 5.906851510402827898e+02 9.792105499101343185e+02
3.072804789820220321e+03 4.342705000000000000e+06 5.906973899908006160e+02 9.792114186895034891e+02
3.072825223419815302e+03 4.343796000000000000e+06 5.906985737820100439e+02 9.792072353305726438e+02
3.072845657019875944e+03 4.344021000000000000e+06 5.907067295484989700e+02 9.792053921930855722e+02
3.072866090619936585e+03 4.344490000000000000e+06 5.907118580086499833e+02 9.792025805100253137e+02
3.072886524219997227e+03 4.344522000000000000e+06 5.907204592357916226e+02 9.792021633219949308e+02
3.072906957820057869e+03 4.344560000000000000e+06 5.907266968346622207e+02 9.792062388366140340e+02
3.072927391420118511e+03 4.343059000000000000e+06 5.907416659548027837e+02 9.792106471498544806e+02
3.072947825119830668e+03 4.344071000000000000e+06 5.907416902255971536e+02 9.792069795820556237e+02
3.072968258619774133e+03 4.344098000000000000e+06 5.907484161268921525e+02 9.792077301202689341e+02
3.072988692219834775e+03 4.343599000000000000e+06 5.907600165208621092e+02 9.792103644926706920e+02
3.073009125920012593e+03 4.343784000000000000e+06 5.907670927007420687e+02 9.792085333893213601e+02
3.073029559419956058e+03 4.343031000000000000e+06 5.907784669278206593e+02 9.792105826552930239e+02
3.073049993020016700e+03 4.342381000000000000e+06 5.907918298739792817e+02 9.792133424036260294e+02
3.073070426720194519e+03 4.342699000000000000e+06 5.907980741930306294e+02 9.792116524769503485e+02
3.073090860220137984e+03 4.342910000000000000e+06 5.908065481439864470e+02 9.792125961624809634e+02
3.073111293820198625e+03 4.342036000000000000e+06 5.908209805261863039e+02 9.792165230781135961e+02
3.073131727519910783e+03 4.341974000000000000e+06 5.908327472711720247e+02 9.792190955081721313e+02
3.073152161119971424e+03 4.349453000000000000e+06 5.906398834520110768e+02 9.791786852277746220e+02
3.073172594720032066e+03 4.349086000000000000e+06 5.906190530608040490e+02 9.791771733187157452e+02
3.073193028320092708e+03 4.350098000000000000e+06 5.906192042110316152e+02 9.791740087234816201e+02
3.073213461920153350e+03 4.350310000000000000e+06 5.906266794780142391e+02 9.791748939730731536e+02
3.073233895520213991e+03 4.351788000000000000e+06 5.906273244468710573e+02 9.791710349860792348e+02
3.073254329119808972e+03 4.351231000000000000e+06 5.906377622792263082e+02 9.791733440490748990e+02
3.073274762719869614e+03 4.350740000000000000e+06 5.906483159186713010e+02 9.791755450796875948e+02
3.073295196319930255e+03 4.350783000000000000e+06 5.906572685882058522e+02 9.791753261424437369e+02
3.073315629919990897e+03 4.348888000000000000e+06 5.906795275022028591e+02 9.791839824341302574e+02
3.073336063520051539e+03 4.350204000000000000e+06 5.906790118348473015e+02 9.791782504912413287e+02
3.073356497219763696e+03 4.349369000000000000e+06 5.906940678061575909e+02 9.791825248674002751e+02
3.073376930720172822e+03 4.349755000000000000e+06 5.906989504006547804e+02 9.791823849849014323e+02
3.073397364320233464e+03 4.348799000000000000e+06 5.907111908368264039e+02 9.791864981573073692e+02
3.073417798019945621e+03 4.349616000000000000e+06 5.907096566685427206e+02 9.791867774074769386e+02
3.073438231519889086e+03 4.348817000000000000e+06 5.907213472077578444e+02 9.791897396464371468e+02
3.073458665220066905e+03 4.347166000000000000e+06 5.907378216060761815e+02 9.791971921477119167e+02
3.073479098820127547e+03 4.347568000000000000e+06 5.907436980859183677e+02 9.791967286078102006e+02
3.073499532320071012e+03 4.348092000000000000e+06 5.907457268613451333e+02 9.791970848362914239e+02
3.073519966019783169e+03 4.347701000000000000e+06 5.907551321951532373e+02 9.791990923478869036e+02
3.073540399619843811e+03 4.346309000000000000e+06 5.907699781584788070e+02 9.792055373881609057e+02
3.073560833119787276e+03 4.347060000000000000e+06 5.907722354878929991e+02 9.792019762782201724e+02
3.073581266819965094e+03 4.347476000000000000e+06 5.907743437801611890e+02 9.792017853577569895e+02
3.073601700420025736e+03 4.345891000000000000e+06 5.907910223703263455e+02 9.792092818250619075e+02
3.073622133919969201e+03 4.345587000000000000e+06 5.907992446129832160e+02 9.792111162427538602e+02
3.073642567620147020e+03 4.351098000000000000e+06 5.906874899163383361e+02 9.791812218433140060e+02
3.073663001120090485e+03 4.351105000000000000e+06 5.906806854810445202e+02 9.791809910356105320e+02
3.073683434720151126e+03 4.350302000000000000e+06 5.906947269407962722e+02 9.791862856877522745e+02
3.073703868419863284e+03 4.349483000000000000e+06 5.907059795382577931e+02 9.791926320898369340e+02
3.073724302019923925e+03 4.349908000000000000e+06 5.907082683128011240e+02 9.791909028880610322e+02
3.073744735519867390e+03 4.348299000000000000e+06 5.907268081150813259e+02 9.791991371798490036e+02
3.073765169220045209e+03 4.349156000000000000e+06 5.907283261396004264e+02 9.791953843458362599e+02
3.073785602820105851e+03 4.348764000000000000e+06 5.907387301311360943e+02 9.791977515910267584e+02
3.073806036420166492e+03 4.348099000000000000e+06 5.907505040708595061e+02 9.792012166696296163e+02
3.073826470020227134e+03 4.348120000000000000e+06 5.907610606423005493e+02 9.792026613800907171e+02
3.073846903619822115e+03 4.347412000000000000e+06 5.907715594933260945e+02 9.792054813300418346e+02
3.073867337319999933e+03 4.348641000000000000e+06 5.907704045930671555e+02 9.792013247357048158e+02
3.073887770819943398e+03 4.350500000000000000e+06 5.906902806573956468e+02 9.791862356051028655e+02
3.073908204420004040e+03 4.350557000000000000e+06 5.906859163091071423e+02 9.791865763395353497e+02
3.073928638120181859e+03 4.350018000000000000e+06 5.906982649267198440e+02 9.791895874913620901e+02
3.073949071620125324e+03 4.324366000000000000e+06 5.908385513622112057e+02 9.792792848708920701e+02
3.073969505220185965e+03 4.298252000000000000e+06 5.909912120089747987e+02 9.793688436601669309e+02
3.073989938919898123e+03 4.287318000000000000e+06 5.910524197178749546e+02 9.794128135584996926e+02
3.074010372419841588e+03 4.330333000000000000e+06 5.908381149902328389e+02 9.792623077717117894e+02
3.074030806019902229e+03 4.349241000000000000e+06 5.907525457890238840e+02 9.791959539607025818e+02
3.074051239720080048e+03 4.348827000000000000e+06 5.907663551573791665e+02 9.791969724249780711e+02
3.074071673220023513e+03 4.347550000000000000e+06 5.907842000667042157e+02 9.792026177962300153e+02
3.074092106820084155e+03 4.347660000000000000e+06 5.908006642653749623e+02 9.792069517855582035e+02
3.074112540519796312e+03 4.345281000000000000e+06 5.908251385813713341e+02 9.792169077212728325e+02
3.074132974020205438e+03 4.349738000000000000e+06 5.907431157922615057e+02 9.791947892033956578e+02
3.074153407719917595e+03 4.350642000000000000e+06 5.907359612673255924e+02 9.791912970545496364e+02
3.074173841319978237e+03 4.347752000000000000e+06 5.907632302854440240e+02 9.792017900285020460e+02
3.074194274920038879e+03 4.349611000000000000e+06 5.907612673868997035e+02 9.791948551261250486e+02
3.074214708520099521e+03 4.349131000000000000e+06 5.907740925715964977e+02 9.791957820999183468e+02
3.074235142120160162e+03 4.347659000000000000e+06 5.907924075922237535e+02 9.792010304856015637e+02
3.074255575720220804e+03 4.348123000000000000e+06 5.908009255947911242e+02 9.791983083275242734e+02
3.074276009319815785e+03 4.348045000000000000e+06 5.908093579988247939e+02 9.792002539072158243e+02
3.074296442919876426e+03 4.346610000000000000e+06 5.908271027306337828e+02 9.792078378322416938e+02
3.074316876519937068e+03 4.346214000000000000e+06 5.908373423397927127e+02 9.792137485636924339e+02
3.074337310119997710e+03 4.347004000000000000e+06 5.908402223692455664e+02 9.792095091239851854e+02
3.074357743720058352e+03 4.345438000000000000e+06 5.908578640404027738e+02 9.792162433338135088e+02
3.074378177220001817e+03 4.350380000000000000e+06 5.906876093582629892e+02 9.791836591286278235e+02
3.074398610920179635e+03 4.351969000000000000e+06 5.906557211230135636e+02 9.791746512900252810e+02
3.074419044519774616e+03 4.351320000000000000e+06 5.906674305727916590e+02 9.791765181600065944e+02
3.074439478020183742e+03 4.350670000000000000e+06 5.906792002151393035e+02 9.791800649095426934e+02
3.074459911719895899e+03 4.352059000000000000e+06 5.906760377099667494e+02 9.791743724062564525e+02
3.074480345319956541e+03 4.350935000000000000e+06 5.906906366102917900e+02 9.791794322369789825e+02
3.074500778819900006e+03 4.350240000000000000e+06 5.907008454705946860e+02 9.791813440178012797e+02
3.074521212520077825e+03 4.351580000000000000e+06 5.906997731858313045e+02 9.791777407286548396e+02
3.074541646120138466e+03 4.351116000000000000e+06 5.907104947328455182e+02 9.791812187953619286e+02
3.074562079720199108e+03 4.350731000000000000e+06 5.907194246208281356e+02 9.791831620939101413e+02
3.074582513319794089e+03 4.350357000000000000e+06 5.907293495683227320e+02 9.791851284848577279e+02
3.074602946919854730e+03 4.349636000000000000e+06 5.907422347525172199e+02 9.791875890304384029e+02
3.074623380620032549e+03 4.036455000000000000e+06 5.924688904001159244e+02 9.797276788667284109e+02
3.074643814119976014e+03 4.350905000000000000e+06 5.907105935431824264e+02 9.791815284406347928e+02
3.074664247720036656e+03 4.351088000000000000e+06 5.907133579003688055e+02 9.791799584379814405e+02
3.074684681420214474e+03 4.350514000000000000e+06 5.907215223304648362e+02 9.791826122154761833e+02
3.074705115019809455e+03 4.350438000000000000e+06 5.907274623842472465e+02 9.791832033923940344e+02
3.074725548520218581e+03 4.349120000000000000e+06 5.907411016481495381e+02 9.791881509362813176e+02
