# Time, Flux
0.000000000000000000e+00 2.565933897674626098e-04
6.686272508602542075e-04 7.246286457995345916e-05
1.340354874571403343e-03 -8.846633123261124791e-05
1.055096347998585316e-02 2.468233951095026970e-04
1.122069108846801555e-02 9.543436945846408821e-05
2.043370017781853676e-02 1.729474198705010070e-04
2.110232742867879097e-02 3.637439171921321975e-05
2.177385481803639777e-02 1.477307321084466811e-05
3.098466365780438991e-02 2.796724955104139656e-04
3.165439126628655231e-02 2.005798674431005498e-05
4.086729977279901505e-02 6.950465314591916229e-05
4.153592748932055656e-02 -4.732731685442257156e-05
4.220755499585493453e-02 -5.822385946896943847e-05
5.141826371844615551e-02 2.817283930288632223e-04
5.208799132692831790e-02 1.991247009091637028e-05
6.130080018192529678e-02 -1.300729398424025259e-05
6.196942743278555099e-02 4.868048581236262648e-06
6.264115505649670013e-02 -8.654593587791946832e-06
7.252149127039331233e-02 -3.101670929603945635e-04
8.173449989408254623e-02 -1.125036338330882320e-04
8.240312761060408775e-02 1.658573106447740588e-04
8.307465499996169456e-02 1.138316281882272544e-04
9.295519098255056178e-02 -2.177515684731507915e-04
1.021680999547243118e-01 -1.623546269691240494e-04
1.028367276712458533e-01 -4.211755111994073002e-05
1.035083547121189440e-01 1.089849940228931029e-04
1.133886913916768435e-01 -1.101207742768612637e-04
1.226015998981893063e-01 -1.996802430122064263e-04
1.232702276147108478e-01 3.742405464423661772e-05
1.239419547727607096e-01 -2.455698563575367825e-05
1.331525638438364467e-01 2.450109419352923925e-04
1.338223911038340930e-01 -6.504145460873253807e-05
1.430353000760078430e-01 -2.054289287050143796e-04
1.437039273268680972e-01 -1.397249501990989072e-04
1.443754547162257040e-01 -1.827895988038516788e-05
1.535862635559936962e-01 2.658962393741795256e-05
1.542559911644758586e-01 -6.250593034596249890e-05
1.634689001366496086e-01 -2.691113072453894415e-04
1.641375273875098628e-01 -6.195778550549068300e-06
1.648091548940442408e-01 -4.849640906357486085e-05
1.740198636166354618e-01 4.596364378323581731e-06
1.746894911079408530e-01 -1.577838080503208727e-04
1.839024000801146030e-01 -3.078167373725733012e-04
1.845712275653283996e-01 -3.150985433531492145e-05
1.852427549546860064e-01 -6.578470956475854518e-05
1.944533635601004562e-01 1.278110839920636567e-04
1.951231912857593898e-01 -7.736688520503886182e-06
2.043360997922718525e-01 2.037732247727788422e-05
2.050047275087933940e-01 3.813652081696197445e-05
