# Time, Flux
0.000000000000000000e+00 -2.214971911572050089e-03
9.917297284078863129e-05 8.840280884280238283e-04
1.973459453430415067e-04 7.110280884278230573e-04
2.985189179514069480e-04 -2.971911572058338891e-06
1.579551767134423912e-03 2.530280884279756393e-04
1.677724739636676787e-03 4.450280884279456117e-04
1.776897712477465419e-03 7.160280884278558133e-04
1.878070685085830860e-03 4.660280884279943692e-04
3.159103534268847824e-03 6.400280884278908289e-04
3.257276506771100699e-03 5.090280884280096174e-04
3.356449479611889330e-03 9.820280884279553035e-04
3.457622452220254772e-03 1.001028088427946550e-03
4.738655301403271736e-03 4.070280884279631195e-04
4.836828273905524611e-03 6.790280884280130991e-04
4.936001246746313242e-03 1.820280884278213662e-04
5.037174219354678684e-03 5.902808842794815547e-05
6.318207068537695648e-03 4.690280884279696139e-04
6.416380041039948523e-03 4.302808842793215405e-05
6.515553013880737154e-03 4.830280884279281040e-04
6.616725986489102596e-03 -4.409719115721077998e-04
7.897758835672119559e-03 6.330280884280226061e-04
7.995931808174372435e-03 4.340280884279623663e-04
8.095104781015161066e-03 8.590280884278600482e-04
8.196277753623526507e-03 1.340280884279954066e-04
9.477310602806543471e-03 8.500280884279343141e-04
9.575483575308796347e-03 1.013028088427847528e-03
9.674656548149584978e-03 4.920280884278538380e-04
9.775829520757950419e-03 2.070280884279851463e-04
1.105586237005717898e-02 3.100280884279493776e-04
1.115503534244322026e-02 2.210280884279436364e-04
1.125420831528400889e-02 1.302808842795766253e-05
1.263541413719160289e-02 2.760280884278598634e-04
1.273358710969385577e-02 9.702808842793064770e-05
1.283376008241843280e-02 9.310280884279320546e-04
1.421496590432602680e-02 6.340280884279403395e-04
1.431313887682827968e-02 3.320280884279158684e-04
1.441331184955285671e-02 9.740280884279473028e-04
1.579451767146045071e-02 -5.197191157213509882e-05
1.589269064396270359e-02 8.200280884279598226e-04
1.599286361668728063e-02 2.180280884279683917e-04
1.737406943859487463e-02 9.480280884278657894e-04
1.747224241109712750e-02 7.810280884278375524e-04
1.757241538382170454e-02 6.150280884279490934e-04
1.895262120539076278e-02 7.700280884278543070e-04
1.905179417823155141e-02 2.520280884278358613e-04
1.915196715095612845e-02 7.340280884279293261e-04
2.043400000002293382e-02 -1.975971911572060868e-03
2.053217297252518669e-02 8.440280884279838247e-04
2.063134594536597533e-02 5.670280884279010891e-04
2.073151891763580501e-02 3.002808842789139732e-05
2.201355176715735773e-02 2.620280884279013733e-04
2.211172473965961061e-02 3.720280884279558720e-04
2.221089771250039924e-02 5.600280884278108218e-04
2.231107068477022892e-02 5.470280884279921096e-04
2.359310353429178164e-02 6.670280884278900757e-04
2.369127650679403452e-02 5.760280884278268232e-04
2.379044947963482315e-02 9.930280884279385489e-04
2.389062245190465283e-02 9.110280884280230751e-04
2.517265530142620555e-02 2.980280884278263542e-04
2.527082827392845843e-02 8.850280884279415616e-04
2.547017421903907675e-02 1.880280884279939002e-04
2.675120706867684106e-02 4.890280884278785933e-04
2.685038004106288234e-02 -3.297191157203283041e-05
2.694955301390367097e-02 6.300280884278253168e-04
2.705072598651203641e-02 -1.969719115720858227e-04
2.833075883581126497e-02 5.830280884279170905e-04
2.842893180831351785e-02 4.110280884278560976e-04
2.852910478103809488e-02 1.085028088427919535e-03
2.863027775364646033e-02 8.002808842799691291e-05
2.991031060294568888e-02 4.500280884279783677e-04
3.000848357544794176e-02 9.280280884279568099e-04
3.010865654817251880e-02 4.170280884278065869e-04
3.020982952078088424e-02 3.390280884280061358e-04
3.148986237008011280e-02 2.980280884278263542e-04
3.158803534258236567e-02 1.420280884280034073e-04
3.168820831530694271e-02 1.720280884279778988e-04
3.306941413721453671e-02 3.250280884278256011e-04
3.316758710971678958e-02 -1.269719115720713276e-04
3.326776008244136662e-02 8.220280884280173339e-04
3.464896590434896062e-02 4.170280884278065869e-04
3.474713887685121350e-02 1.020280884279634037e-04
3.484731184957579053e-02 4.202808842801442069e-05
3.632669064398563741e-02 7.360280884279868374e-04
3.642686361671021444e-02 3.730280884278736053e-04
3.780706943827927269e-02 7.480280884278878162e-04
3.790624241112006132e-02 5.660280884279833558e-04
3.800641538338989101e-02 6.670280884278900757e-04
3.938662120541369660e-02 7.850280884279525750e-04
3.948579417825448523e-02 7.802808842793940158e-05
3.958596715052431492e-02 6.570280884278245637e-04
4.086800000004586764e-02 -1.606971911572108169e-03
